"이유","이 부분 주위적 공소사실을 무죄로 판단한 원심판결에 상고이유 주장과 같이 성폭력범죄의 처벌 등에 관한 특례법위반 죄에서의 추행에 관한 법리를 오해하여 판결 결과에 영향을 미친 잘못이 있다고 할 수 없다."
"이유","구 아동복지법 제17조 제4호의 “아동에게 성적 수치심을 주는 성희롱·성폭력 등의 학대행위”란 아동에게 성적 수치심을 주는 성희롱, 성폭행 등의 행위로서 아동의 건강·복지를 해치거나 정상적 발달을 저해할 수 있는 성적 폭력 또는 가혹행위를 말한다."
"이유","피고인의 행위가 학대행위에 해당한다는 점이 합리적인 의심을 할 여지가 없을 정도로 증명되었다고 보기 어렵다는 이유로 이 부분 예비적 공소사실을 무죄로 판단하였다."
"이유","그러나 원심판결 이유와 증거에 의하면 인정되는 다음과 같은 사정에 비추어 볼 때, 원심의 판단은 수긍하기 어렵다."
"이유","피고인은 피해자가 재학 중인 초등학교 야구부 코치이고,피해자가 야구부를 오가면서 서로 알고 지내던 사이일 뿐이며, 피고인이 피해자와 별다른 거부감 없이 자연스럽게 신체적 접촉을 할 정도의 사이라고 보이지 않는다."
"이유","피고인은 피해자를 야구부 숙소에 데리고 간 다음 출입문을 잠근 상태에서 안마를 해달라고 하여 피해자가 2분간 주먹으로 피고인의 어깨를 두드리게 하였다."
"이유","이와 같이 피고인이 다른 사람이 없는 폐쇄된 공간에서 피해자에게 안마를 시키고 피해자의 신체 부위를 평가하는 말을 한 것은, 초등학교 야구부 코치가 그 학교 여학생을 상대로 흔히 할 수 있는 통상적인 행위라고 볼 수 없다."
"이유","피고인은 야구부 숙소 후문을 통해 밖으로 나가는 피해자를 따라 나와 계단에 서서 피해자를 앞에서 안은 뒤에 자신의 얼굴을 들이밀면서 3회에 걸쳐 뽀뽀를 해달라고 요구하였는데, 그 과정에서 피해자와 상당한 정도의 신체 접촉이 있었다."
"이유","주위에 다른 사람이 없는 상태에서 3회에 걸쳐 뽀뽀를 해달라고 요구하는 행위는 피해자가 성적 수치심을 느끼기에 충분한 행위이며, 피고인은 검찰에서 피해자의 외모가 성숙해 보이고 여자로 느껴져서 순간적으로 그와 같은 행위를 하였다고 진술하였다."
"이유","피해자는 그 나이 등에 비추어 볼 때 성적 자기결정권을 제대로 행사할 수 있을 정도의 성적 가치관과 판단능력을 갖추었다고 할 수 없다."
"이유","사정이 이러하다면, 피고인은 피해자 공소외인을 상대로 이 부분 예비적 공소사실 기재 행위를 하였음을 알 수 있고, 이는 피해 아동에게 성적 수치심을 주는 성희롱으로서 피해 아동의 정상적 발달을 저해할 수 있는 가혹행위에 해당한다고 보아야 한다."
"이유","그런데도 피고인의 행위가 학대행위에 해당하지 않는다는 이유로 이 부분 예비적 공소사실을 무죄로 판단한 원심판결에는 구 아동복지법 제17조 제4호의 “아동에게 성적 수치심을 주는 성희롱·성폭력 등의 학대행위”에 관한 법리를 오해하여 판결 결과에 영향을 미친 잘못이 있다."
"이유","원심판결 중 피해자 공소외인 관련 예비적 공소사실에 관한 부분에 법리를 오해하여 판결 결과에 영향을 미친 잘못이 있어 이를 파기하는 이상, 위 피해자 관련 주위적 공소사실에 관한 부분을 포함하여 원심판결 중 피해자 공소외인에 대한 부분 전부를 파기한다."
"이유","그와 함께 심리하여 동시에 판결을 선고해야 하는 위 피고사건에 관한 부착명령청구사건에 관한 부분 역시 파기한다."
"이유","그러므로 원심판결 중 피해자 공소외인에 대한 2014. 7. 3. 성폭력범죄의 처벌 등에 관한 특례법위반의 점과 아동복지법위반의 점에 대한 부분을 파기한다."
