"판시사항","어음금지급채무에 대한 민사상 보증인이 민법 제481조, 제482조에 따라 채권자인 소지인을 대위하여 소구권을 행사할 수 있는지 여부 및 채권자의 고의나 과실로 소구권이 상실되면 보증인은 보증책임을 면하는지 여부"
"판시사항","어음채권자인 소지인이 배서인에 대한 소구권을 상실하게 된 것이 고의나 과실에 의한 것이 아니라고 한 사례"
"판결요지","민법 제485조는 법정대위권자가 있는 경우에 채권자의 고의나 과실로 담보가 상실되거나 감소된 때에는 대위권자는 그 상실 또는 감소로 인하여 상환을 받을 수 없는 한도에서 그 책임을 면한다고 규정하고 있는바다. "
"판결요지","약속어음의 소지인이 배서인에 대하여 가지는 소구권은 약속어음이 지급거절된 경우 어음금 지급에 대한 배서인의 담보책임의 이행을 구하는 권리이므로 소구권은 어음금 지급채무에 대한 담보라고 할 수 있다. "
"판결요지","어음금 지급채무에 대한 민사상 보증인이 변제를 하게 되면 민법 제481조, 제482조에 따라 채권자인 소지인을 대위하여 담보에 관한 권리인 소구권을 행사할 수 있다. "
"판결요지","만일 채권자의 고의나 과실로 소구권이 상실되면 특별한 사정이 없는 한 그로 인하여 상환받을 수 없는 한도에서 위 보증인은 보증책임을 면하게 된다.        "
"이유","원고는 1996. 6. 21. OOO 주식회사와 거래한도를 200억 원으로 정한 어음거래약정을 체결하였고, 피고와 OOO의 대표이사인 ○○○는 OOO의 원고에 대한 이 사건 어음거래약정상의 모든 채무의 지급을 연대보증하였다."
"이유","OOO은 자신의 거래업체 등을 수취인으로 하여 이 사건 각 어음을 발행하였고, 이 사건 각 어음의 수취인은 원고의 계열회사인 OOO 주식회사 또는 OOO 주식회사에게 이 사건 각 어음을 할인받으면서 이를 배서ㆍ양도하였다."
"이유","OOO파이낸스와 OOO카드는 원고가 위 해지통지서를 받은 다음날인 같은 달 11. 이 사건 각 어음을 원고에게 재할인 받으면서 이를 배서ㆍ양도함으로써 원고가 이 사건 각 어음을 소지하게 되었다. "
"이유","원고는 어음법상의 소멸시효기간인 1년 이내에 배서인들에 대하여 가지는 소구권을 보존하기 위한 조치를 취하지 않음으로써 이 사건 각 어음에 관한 소구권은 상실되었다."
"이유","원심의 위와 같은 판단은 정당하고 거기에 계속적 보증계약의 해지에 관한 법리오해 등의 위법이 있다고 할 수 없다."
"이유","피고는 원칙적으로 이 사건 어음거래약정상의 거래한도 범위내에서 OOO의 어음금채무 전부에 대한 보증책임을 져야 할 것이다."
"이유","OOO의 자금사정에 대한 피고의 인식의 정도 등에 비추어 볼 때, 원고가 위와 같은 경위로 취득한 이 사건 각 어음에 대하여 피고에게 보증책임을 지우는 것이 신의칙에 위반된다고 볼 수는 없다."
"이유","원심이 같은 취지에서 피고의 신의칙위반의 항변을 배척한 조치는 정당하고, 거기에 신의칙에 관한 법리오해 등의 위법이 있다고 할 수 없다."
"이유","원심은, OOO파이낸스나 OOO카드가 원고에게 어음할인 의뢰시에 행한 배서ㆍ양도가 원고로 하여금 소송행위를 하게 하는 것을 주목적으로 한 소송신탁적 양도에 해당하거나 추심위임의 목적으로 하는 숨은 추심위임배서에 해당한다는 사실을 인정할 만한 아무런 증거가 없다."
"이유","원고의 피고에 대한 청구는 어음거래약정상의 민사상 보증인에 대한 책임을 추급하는 것이므로 OOO파이낸스나 OOO카드가 가지는 어음상의 권리를 신탁의 형식을 이용하여 행사하는 것이라고도 볼 수 없다는 이유로 원고의 이 사건 소송이 소송신탁에 기한 청구라는 피고의 주장을 배척하였는바이다. "
"이유","원심의 위와 같은 인정과 판단은 정당하고 거기에 채증법칙 위배로 인한 사실오인 등의 위법이 있다고 할 수 없다."
"이유","민법 제485조는 법정대위권자가 있는 경우에 채권자의 고의나 과실로 담보가 상실되거나 감소된 때에는 대위권자는 그 상실 또는 감소로 인하여 상환을 받을 수 없는 한도에서 그 책임을 면한다고 규정하고 있는바이다. "
