"귀하의 근무 상태(정규직 혹은 비정규직)를 명확히 하고, 동일한 업무를 수행하는 정규직 근로자와의 임금 차이를 어떻게 인지하게 되었는지 설명해 주십시오."
"저는 비정규직으로 고용되어 동일한 생산 라인에서 일하는 정규직 동료와 동일한 업무를 수행합니다. 임금 명세서를 통해 동료들이 저보다 상당히 높은 임금을 받고 있다는 것을 알게 되었습니다."
"이 임금 차별을 인지한 후 회사 측에 어떤 방식으로 이 문제를 제기했으며, 회사의 반응은 어떠했나요? 자세히 말씀해 주세요."
"저는 인사부에 서면으로 임금 차별 문제를 제기했지만, 회사 측은 정규직과 비정규직 간의 '계약상의 차이'라는 이유로 이를 정당화했습니다."
"이러한 임금 차별이 귀하의 직장 내 신뢰감과 업무 태도에 어떤 영향을 미쳤는지 상세히 빠짐없이 말씀해 주십시오."
"임금 차별은 제 직장 내 신뢰를 상실하게 만들었고, 업무에 대한 만족도와 동기 부여를 크게 저하시켰습니다. 저는 제 노력이 정당하게 인정받지 못한다고 느꼈습니다."
"임금 차별 문제와 관련하여 귀하가 취한 법적 조치와 그 과정에서 겪은 어려움에 대해 상세하게 말씀해 주십시오."
"저는 법적 조언을 얻기 위해 노동법 전문 변호사와 상담했고, 노동청에 공식적으로 불만을 제기했습니다. 적절한 법적 지원을 찾는 데 어려움을 겪었습니다."
"회사의 임금 정책이나 임금 산정 기준에 대해 어떤 이해를 하고 계시나요? 이 정책이나 기준이 임금 차별에 어떻게 영향을 미쳤다고 보시나요?"
"회사의 임금 정책은 계약 유형에 따라 임금을 차별화하는 것으로 보입니다. 이는 비정규직 근로자를 불리하게 만들고, 임금 차별을 정당화하는 방식으로 작용했습니다."
"임금 차별 문제를 해결하기 위해 회사 내부에서 논의된 사항이나 진행된 절차가 있었나요? 이에 대한 귀하의 평가는 어떠한가요?"
"회사 내부에서는 이 문제를 공식적으로 논의한 적이 없으며, 제기된 문제에 대한 실질적인 절차나 조치가 없었습니다. 이는 매우 실망스러웠습니다."
"이 사건이 귀하의 동료들과의 관계에 어떤 영향을 미쳤나요? 또한 그 사건에 대하여 동료들의 반응과 지지는 어떠했나요?"
"이 사건은 일부 동료들의 지지를 받았지만, 다수는 이 문제에 대해 무관심하거나 회사의 입장을 지지하는 경향을 보였습니다."
"임금 차별 문제가 귀하의 가족 생활과 개인적인 복리에 어떤 영향을 미쳤는지, 특히 재정적인 측면에서 말씀해 주십시오."
"저는 가족을 부양해야 하는데, 임금 차별로 인해 재정적인 어려움을 겪고 있습니다. 이는 가족의 생활 수준과 미래 계획에 부정적인 영향을 미쳤습니다."
"회사의 임금 차별 정책에 대해 알게 된 후, 귀하의 장래 경력 계획에 구체적으로 어떤 변화가 있었나요?"
"이 경험으로 인해 저는 다른 고용 기회를 모색하기 시작했습니다. 나는 직장 내에서의 성장과 발전 가능성을 중시하고, 임금 차별이 없는 환경을 찾고 있습니다."
"임금 차별 문제와 관련하여 귀하가 고용주에게 기대하는 조치나 해결 방안은 무엇인가요? 이 문제가 해결되었을 때 근로 환경과 근로자들의 사기에 어떤 긍정적인 변화를 가져올 것이라고 생각하시나요?"
"임금 차별 문제에 대해, 저는 고용주가 모든 근로자에 대한 임금 산정 기준을 투명하게 만들고, 동일한 가치의 노동에 대해 공정한 임금을 지급하는 새로운 정책을 수립하는 것을 기대합니다. 이러한 조치는 근로자들 사이의 신뢰를 회복할 것 입니다."
