"회사의 경영 악화가 임금 지급 의무 이행에 어떠한 영향을 미쳤으며, 이에 대한 구체적인 설명을 해 주실 수 있나요?"
"경영 악화에도 불구하고, 임금 지급은 우리 회사의 최우선적인 의무입니다. 그러나 일시적인 현금 흐름 문제로 인해 임금 지급에 차질이 발생했습니다."
"귀사에서 임금 체불 사례가 발생했음에도 불구하고, 해결하기 위한 적절한 조치를 왜 취하지 않았는지 설명해 주십시오."
"임금 체불 사태를 매우 심각하게 받아들이고 있으며, 이를 해결하기 위한 조치를 지체 없이 취했다고 생각합니다. 임금을 지급하기 위한 자금을 마련하는 데 어려움이 있었음을 인정합니다."
"귀하의 회사에서 임금 체불 문제를 해결하기 위해 구체적으로 어떤 단계를 밟았는지, 그 과정을 상세히 말씀해 주십시오."
"우리는 임금 체불 문제를 해결하기 위해 긴급한 자금 조달을 시도했으며, 이를 위해 외부 투자자와의 협상, 자산 매각 등 여러 가능성을 탐색했습니다."
"회사가 근로기준법 제35조 제3호를 위반하여 해고 예고 없이 직원을 해고한 것에 대해 어떻게 설명할 수 있나요?"
"이는 오해의 소지가 있습니다. 해당 근로자는 해고 예고 적용 예외에 해당했으며, 법적 요건을 준수하며 절차를 진행했다고 이해하고 있습니다."
"임금 지급 문제로 인해 회사에 대한 근로자들의 불만이 증가했을 때, 귀사는 어떤 방식으로 근로자들의 의견을 수렴하고 대응했나요?"
"근로자들의 불만과 의견을 수렴하기 위해 우리는 여러 차례 직원 대표와의 미팅을 가졌으며, 그들의 의견을 경영진 회의에 반영하려 노력했습니다."
"회사의 실질적인 경영진으로서, 근로기준법에 따른 임금 지급 의무를 왜 이행하지 않았는지, 그 이유를 구체적으로 설명해 주십시오."
"임금 지급 의무를 이행하지 못한 것은 회사의 의도가 아니었습니다. 외부적인 경제 상황과 급격한 경영 악화로 인해 어려움을 겪었고, 가능한 한 빨리 상황을 개선하려 노력했습니다."
"회사가 실질적 경영진의 법적 책임을 인정하고, 이에 대한 대책을 마련했다면, 그 대책에는 어떤 것들이 포함되어 있었나요?"
"경영진의 책임을 인정하고, 임금 체불 문제를 해결하기 위해 금융 기관과의 협의를 통해 필요한 자금을 확보하는 조치를 취했습니다. 또한, 향후 유사한 사태를 방지하기 위해 내부 감사 시스템을 강화했습니다."
"근로기준법에 따른 사용자의 의무를 이행하지 않았을 경우, 회사는 어떤 법적 책임을 질 수 있는지 귀하의 이해를 바탕으로 설명해 주십시오."
"사용자로서 법적 의무를 이행하지 않을 경우, 임금 체불, 부당 해고 등으로 인해 노동위원회나 법원에 소송을 당할 수 있으며, 최악의 경우 형사 책임을 지게 될 수 있습니다."
"회사가 임금 체불 문제를 해결하고자 시도했던 구체적인 금융 조치는 무엇이었으며, 그 효과에 대해 상세하게 평가해 주십시오."
"임금 체불 문제를 해결하기 위해 우선적으로 기업 대출을 신청했고, 비용 절감을 위해 일부 자산을 매각했습니다. 이러한 조치로 일부 자금을 확보하여 가장 시급한 임금 체불 문제를 해결할 수 있었습니다."
"경영진이 근로기준법을 위반한 것에 대해 직원들에게 어떤 설명을 제공하였습니까? 또한 근로기준법을 위반한것들에 대한 직원들의 반응은 어떠했나요?"
"우리는 전체 직원 대상 회의를 통해 경영 상황과 법적 의무 불이행의 원인을 투명하게 설명했습니다. 직원들은 상황을 이해했지만, 여전히 우려와 불안을 표현했습니다."
